吃瓜	吃瓜 [吃瓜]
v	v V 釩 Vanadium 23 50.94 ㄪ ⓥ Ⓥ 🅅 🅥 🆅 ⒱ 🄥 🇻 𝓋 𝒱 𝓿 𝓥 𝔳 𝔙 𝖛 𝖁 v̶ V̶ 𝚟 𝚅 𝕧 𝕍 ṽ ᵛ ᵥ ṿ ꝟ ʋ ᶹ ᶌ ⱴ ⱱ ỽ ʌ ᶺ Ṽ ᴠ ⱽ Ṿ Ꝟ Ʋ Ỽ Ʌ
w	w W 鎢 Tungsten 74 184 ⓦ Ⓦ 🅆 🅦 🆆 ⒲ 🄦 🇼 𝓌 𝒲 𝔀 𝓦 𝔴 𝔚 𝖜 𝖂 w̶ W̶ 𝚠 𝚆 𝕨 𝕎 ẃ ẁ ŵ ẇ ẅ ẘ ʷ ẉ ƿ ʍ ⱳ Ẃ Ẁ Ŵ Ẇ Ẅ W̊ ᴡ ᵂ Ẉ Ƿ Ⱳ
x	x X 🩻 ㄒ ⓧ Ⓧ 🅇 🅧 🆇 ⒳ 🄧 🇽 𝓍 𝒳 𝔁 𝓧 𝔵 𝔛 𝖝 𝖃 x̅ x̃ X̃ x̶ X̶ 𝚡 𝚇 𝕩 𝕏 ẋ ẍ ᶍ ˣ ₓ ꭖ ꭗ ꭘ ꭙ Ẋ Ẍ
y	y Y 釔 Yttrium 39 88.91 ⓨ Ⓨ 🅈 🅨 🆈 ⒴ 🄨 🇾 𝓎 𝒴 𝔂 𝓨 𝔶 𝔜 𝖞 𝖄 y̶ Y̶ 𝚢 𝚈 𝕪 𝕐 ȳ ý ỳ ŷ ẏ ÿ ẙ ỹ ʸ ɏ ỷ ỵ ƴ ʎ ỿ ꭚ Ȳ Ý Ỳ Ŷ Ẏ Ÿ Ỹ ʏ Ɏ Ỷ Ỵ Ƴ Ỿ
z	z Z ㄗ ⓩ Ⓩ 🅉 🅩 🆉 ⒵ 🄩 🇿 𝓏 𝒵 𝔃 𝓩 𝔷 ℨ 𝖟 𝖅 z̶ Z̶ 𝚣 𝚉 𝕫 ℤ ź ž ẑ ż ᶻ ʐ ᶼ ʑ ᶽ ƶ ẕ ẓ ᵶ ȥ ⱬ ᶎ ʒ ᶾ ǯ ʓ ƹ ƺ ᶚ θ ᶿ ɀ ꝣ Ź Ž Ẑ Ż ᴢ Ƶ Ẕ Ẓ Ȥ Ⱬ Ʒ ᴣ Ǯ Ƹ Ɀ Ꝣ
zh	zh ㄓ
zhi	zhi ㄓ
ch	ch ㄔ
sh	sh ㄕ
ai	ai ㄞ
ei	ei ㄟ
an	an ㄢ
en	en ㄣ
ang	ang ㄤ
eng	eng ㄥ
er	er Er 鉺 Erbium 68 167 ㄦ
ng	ng ㄫ ㆭ
ci	ci ㄘ
beng	beng ㄅㄥ
peng	peng ㄆㄥ
meng	meng ㄇㄥ
feng	feng ㄈㄥ
you	you ㄧㄡ
iu	iu ㄧㄡ
wei	wei ㄨㄟ
ui	ui ㄨㄟ
wen	wen ㄨㄣ
weng	weng ㄨㄥ
un	un ㄨㄣ ㄩㄣ
yan	yan ㄧㄢ
ian	ian ㄧㄢ
yuan	yuan ㄩㄢ
uan	uan ㄩㄢ
yin	yin ㄧㄣ
in	in In 銦 Indium 49 114.8 ㄧㄣ
sn	sn Sn 錫 Stannum 50 118.7
sb	sb Sb 銻 Antimony 51 121.8
xe	xe Xe 氙 Xenon 54 131.3
cs	cs Cs 銫 Cesium 55 133
eu	eu Eu 銪 Europium 63 152
gd	gd Gd 釓 Gadolinium 64 157
tb	tb Tb 鋱 Terbium 65 159
dy	dy Dy 鏑 Dysprosium 66 162.5
yb	yb Yb 鐿 Ytterbium 70 173
hg	hg Hg 汞 Mercury 80 200.6
tl	tl Tl 鉈 Thallium 81 204.5
pb	pb Pb 鉛 Lead 82 207
rn	rn Rn 氡 Radon 86 222
fr	fr Fr 鈁 Francium 87 223
np	np Np 鎿 Neptunium 93 237
yun	yun ㄩㄣ
ying	ying ㄧㄥ
ing	ing ㄧㄥ
ong	ong ㄨㄥ
yong	yong ㄩㄥ
iong	iong ㄩㄥ
gn	gn ㄬ
aa	aa ꜳ Ꜳ
ae	ae æ ǣ ǽ ᵆ ᴂ Æ Ǣ Ǽ ᴭ ᴁ
ao	ao ㄠ ꜵ Ꜵ
au	au Au 金 Gold 79 197 ꜷ Ꜷ
av	av ꜹ ꜻ Ꜹ Ꜻ
ay	ay ꜽ Ꜽ
db	db Db 𬭊 Dubnium 105 262 ȸ
sg	sg Sg 𬭳 Seaborgium 106 263
bh	bh Bh 𬭛 Bohrium 107 264
hs	hs Hs 𬭶 Hassium 108 265
mt	mt Mt 䥑 Meitnerium 109 266
ds	ds Ds 𫟼 Darmstadtium 110 269
rg	rg Rg 𬬭 Roentgenium 111 272
cn	cn Cn 鎶 Copernicium 112 277
nh	nh Nh 鿭 Nihonium 113 286
ff	ff ﬀ
ffi	ffi ﬃ
ffl	ffl ﬄ
fl	fl Fl 𫓧 Flerovium 114 289 ﬂ
mc	mc Mc 鏌 Moscovium 115 289
lv	lv Lv 𫟷 Livermorium 116 293
fn	fn ʩ
hv	hv ƕ Ƕ
ij	ij ĳ Ĳ
lj	lj ǉ
ll	ll ỻ Ỻ
ls	ls ʪ
lz	lz ʫ ɮ
nj	nj ǌ ǋ Ǌ
oe	oe œ ᴔ Œ ɶ
oi	oi ƣ Ƣ
oo	oo ꝏ Ꝏ
ou	ou ㄡ ȣ Ȣ ᴽ
qp	qp ȹ
tc	tc Tc 鍀 Technetium 43 98 ʨ
th	th Th 釷 Thorium 90 232 ᵺ
ts	ts Ts 鿬 Tennessine 117 294 ʦ ʧ
og	og Og 鿫 Oganesson 118 294
tz	tz ꜩ Ꜩ
ue	ue ᵫ
vy	vy ꝡ Ꝡ
ww	ww ʬ
vu	vu ゔ ヴ
va	va ゔぁ ヴァ
whi	whi うぃ ウィ
vi	vi ゔぃ ヴィ
whe	whe うぇ ウェ
ve	ve ゔぇ ヴェ
vo	vo ゔぉ ヴォ
vya	vya ゔゃ ヴャ
vyu	vyu ゔゅ ヴュ
vyo	vyo ゔょ ヴョ
ka	ka か カ
ga	ga Ga 鎵 Gallium 31 69.72 が ガ
zr	zr Zr 鋯 Zirconium 40 91.22
nb	nb Nb 鈮 Niobium 41 92.91
nga	nga かﾟ  カﾟ
ki	ki き キ
gi	gi ぎ ギ
ngi	ngi きﾟ キﾟ
kya	kya きゃ キャ
gya	gya ぎゃ ギャ
ngya	ngya きﾟゃ キﾟャ
kyu	kyu きゅ キュ
gyu	gyu ぎゅ ギュ
ngyu	ngyu きﾟゅ キﾟュ
kyo	kyo きょ キョ
gyo	gyo ぎょ ギョ
ngyo	ngyo きﾟょ キﾟョ
ku	ku く ク
gu	gu ぐ グ
ngu	ngu くﾟ クﾟ
kwa	kwa くぁ クァ くゎ クヮ
kwi	kwi くぃ クィ
kwe	kwe くぇ クェ
kwo	kwo くぉ クォ
kwya	kwya くゃ クャ
kwyu	kwyu くゅ クュ
kwyo	kwyo くょ クョ
gwa	gwa ぐゎ グヮ
ngwa	ngwa くﾟゎ クﾟヮ
ke	ke け ケ
ge	ge Ge 鍺 Germanium 32 72.63 げ ゲ
as	as As 砷 Arsenic 33 74.92
nge	nge けﾟ ケﾟ
ko	ko こ コ
go	go ご ゴ
ngo	ngo こﾟ コﾟ
sa	sa さ サ
za	za ざ ザ
shi	shi ㄕ し シ
ji	ji じ ジ ぢ ヂ
she	she しぇ シェ
je	je じぇ ジェ
sha	sha しゃ シャ
ja	ja じゃ ジャ
shu	shu しゅ シュ
ju	ju じゅ ジュ
sho	sho しょ ショ
jo	jo じょ ジョ
su	su す ス
zu	zu ず ズ づ ヅ
si	si Si 硅 Silicon 14 28.09 ㄙ すぃ スィ
cl	cl Cl 氯 Chlorine 17 35.45
ar	ar Ar 氬 Argon 18 39.95
ca	ca Ca 鈣 Calcium 20 40.08
sc	sc Sc 鈧 Scandium 21 44.96
cr	cr Cr 鉻 Chromium 24 52.00
mn	mn Mn 錳 Manganese 25 54.94
zi	zi ㄗ ずぃ ズィ
se	se Se 硒 Selenium 34 78.96 せ セ
br	br Br 溴 Bromine 35 79.90
kr	kr Kr 氪 Krypton 36 83.80
rb	rb Rb 銣 Rubidium 37 85.47
sr	sr Sr 鍶 Strontium 38 87.62
ze	ze ぜ ゼ
ce	ce Ce 鈰 Cerium 58 140 せﾟ セﾟ
pr	pr Pr 鐠 Praseodymium 59 141
nd	nd Nd 釹 Neodymium 60 144
pm	pm Pm 鉕 Promethium 61 145
lr	lr Lr 鐒 Lawrencium 103 260
rf	rf Rf 𬬻 Rutherfordium 104 261
so	so そ ソ
zo	zo ぞ ゾ
ta	ta Ta 鉭 Tantalum 73 181 た タ
da	da だ ダ
chi	chi Χ 𝛸 χ 𝜒 ㄔ ち チ
che	che ちぇ チェ
cha	cha ちゃ チャ
chu	chu ちゅ チュ
cho	cho ちょ チョ
tsu	tsu つ ツ
tu	tu つﾟ ツﾟ とぅ トゥ
tsa	tsa つぁ ツァ
tsi	tsi つぃ ツィ
tse	tse つぇ ツェ
tso	tso つぉ ツォ
te	te Te 碲 Tellurium 52 127.6 て テ
de	de で デ
ti	ti Ti 鈦 Titanium 22 47.87 てぃ ティ
di	di でぃ ディ
tya	tya てゃ テャ
dya	dya でゃ デャ
tyu	tyu てゅ テュ
dyu	dyu でゅ デュ
tyo	tyo てょ テョ
dyo	dyo でょ デョ
to	to と ト
do	do ど ド
du	du どぅ ドゥ
na	na Na 鈉 Sodium 11 22.99 な ナ
mg	mg Mg 鎂 Magnesium 12 24.31
al	al Al 鋁 Aluminum 13 26.98
ni	ni Ni 鎳 Nickel 28 58.69 に ニ
cu	cu Cu 銅 Copper 29 63.55
zn	zn Zn 鋅 Zinc 30 65.58
nya	nya にゃ ニャ
nyu	nyu にゅ ニュ
nyo	nyo にょ ニョ
nu	nu Ν 𝛮 ν 𝜈 ぬ ヌ
ne	ne Ne 氖 Neon 10 20.18 ね ネ
ha	ha は ハ
ba	ba Ba 鋇 Barium 56 137.3 ば バ
pa	pa Pa 鏷 Protactinium 91 231 ぱ パ
hi	hi ひ ヒ
bi	bi Bi 鉍 Bismuth 83 209 び ビ
pi	pi Π 𝛱 π 𝜋 ϖ 𝜛 ぴ ピ
hya	hya ひゃ ヒャ
bya	bya びゃ ビャ
pya	pya ぴゃ ピャ
hyu	hyu ひゅ ヒュ
byu	byu びゅ ビュ
pyu	pyu ぴゅ ピュ
hyo	hyo ひょ ヒョ
byo	byo びょ ビョ
pyo	pyo ぴょ ピョ
fu	fu ふ フ
bu	bu ぶ ブ
pu	pu Pu 鈈 Plutonium 94 244 ぷ プ
am	am Am 鎇 Americium 95 243
cm	cm Cm 鋦 Curium 96 247
bk	bk Bk 錇 Berkelium 97 247
cf	cf Cf 鐦 Californium 98 251
es	es Es 鎄 Einsteinium 99 252
fm	fm Fm 鐨 Fermium 100 257
md	md Md 鍆 Mendelevium 101 258
fa	fa ふぁ ファ
fi	fi ふぃ フィ ﬁ
fe	fe Fe 鐵 Iron 26 55.85 ふぇ フェ
co	co Co 鈷 Cobalt 27 58.93
fo	fo ㄈㄛ ふぉ フォ
fya	fya ふゃ フャ
fyu	fyu ふゅ フュ
fyo	fyo ふょ フョ
he	he He 氦 Helium 2 4.003 へ ヘ
be	be Be 鈹 Beryllium 4 9.012 べ ベ
pe	pe ぺ ペ
ho	ho Ho 鈥 Holmium 67 165 ほ ホ
bo	bo ㄅㄛ ぼ ボ
po	po Po 釙 Polonium 84 209 ㄆㄛ ぽ ポ
hu	hu ほぅ ホゥ
ma	ma ま マ
mi	mi み ミ
mya	mya みゃ ミャ
myu	myu みゅ ミュ
myo	myo みょ ミョ
mu	mu Μ 𝛭 μ 𝜇 む ム
me	me め メ
mo	mo Mo 鉬 Molybdenum 42 95.96 ㄇㄛ も モ
ya	ya や ヤ
yu	yu ゆ ユ
yo	yo よ ヨ
ra	ra Ra 鐳 Radium 88 226 ら ラ
ac	ac Ac 錒 Actinium 89 227
la	la La 鑭 Lanthanum 57 139 らﾟ ラﾟ
ri	ri ㄖ り リ
li	li Li 鋰 Lithium 3 6.941 りﾟ リﾟ
rya	rya りゃ リャ
lya	lya りﾟゃ リﾟャ
ryu	ryu りゅ リュ
lyu	lyu りﾟゅ リﾟュ
ryo	ryo りょ リョ
lyo	lyo りﾟょ リﾟョ
ru	ru Ru 釕 Ruthenium 44 101.1 る ル
rh	rh Rh 銠 Rhodium 45 102.9
pd	pd Pd 鈀 Palladium 46 106.4
ag	ag Ag 銀 Silver 47 107.9
cd	cd Cd 鎘 Cadmium 48 112.4
lu	lu Lu 鑥 Lutetium 71 175 るﾟ ルﾟ
hf	hf Hf 鉿 Hafnium 72 178.5
re	re Re 錸 Rhenium 75 186 れ レ
os	os Os 鋨 Osmium 76 190
ir	ir Ir 銥 Iridium 77 192
pt	pt Pt 鉑 Platinum 78 195
le	le れﾟ レﾟ
ro	ro ろ ロ
lo	lo ろﾟ ロﾟ
wa	wa わ ワ
wi	wi ゐ ヰ
we	we ゑ ヱ
wo	wo を ヲ
hbar	hbar ℏ ħ
aleph	aleph א
alpha	alpha Α 𝛢 α 𝛼
beta	beta Β 𝛣 β 𝛽
gamma	gamma Γ 𝛤 γ 𝛾
delta	delta Δ 𝛥 δ 𝛿
epsilon	epsilon Ε 𝛦 ε 𝜀 ϵ 𝜖
zeta	zeta Ζ 𝛧 ζ 𝜁
eta	eta Η 𝛨 η 𝜂
theta	theta Θ 𝛩 ϴ 𝛳 θ 𝜃 ϑ 𝜗
iota	iota Ι 𝛪 ι 𝜄
kappa	kappa Κ 𝛫 κ 𝜅 ϰ 𝜘
lambda	lambda Λ 𝛬 λ 𝜆
xi	xi Ξ 𝛯 ξ 𝜉
omicron	omicron Ο 𝛰 ο 𝜊
rho	rho Ρ 𝛲 ρ 𝜌 ϱ 𝜚
sigma	sigma Σ 𝛴 σ 𝜎
tau	tau Τ 𝛵 τ 𝜏
upsilon	upsilon Υ 𝛶 υ 𝜐
phi	phi Φ 𝛷 φ 𝜑 ϕ 𝜙
psi	psi Ψ 𝛹 ψ 𝜓
omega	omega Ω 𝛺 ω 𝜔
釐	釐 ㌢
質量	質量 ㎍ ㎎ ㎏
克	克 ㎍ ㎎ ㎏ ㌘
噸	噸 ㌧
距離	距離 ㎙ ㎚ ㎛ ㎜ ㎝ ㎞
長度	長度 ㎙ ㎚ ㎛ ㎜ ㎝ ㎞
米	米 ㎙ ㎚ ㎛ ㎜ ㎝ ㎞ ㍍
弧度	弧度 ㎭ ㎮ ㎯
面積	面積 ㎟ ㎠ ㎡ ㎢
公頃	公頃 ㌶
體積	體積 ㎣ ㎤ ㎥ ㎦ ㎕ ㎖ ㎗ ㎘ ㍑
電流	電流 ㎀ ㎁ ㎂ ㎃ ㎄
安	安 🉃 ㎀ ㎁ ㎂ ㎃ ㎄
安培	安培 ㎀ ㎁ ㎂ ㎃ ㎄
容量	容量 ㎕ ㎖ ㎗ ㎘
升	升 ㎕ ㎖ ㎗ ㎘ ㍑
頻率	頻率 ㎐ ㎑ ㎒ ㎓ ㎔
赫茲	赫茲 ㎐ ㎑ ㎒ ㎓ ㎔
速度	速度 ㎧
加速度	加速度 ㎨
壓強	壓強 ㎩ ㍱ ㎪ ㎫ ㎬
壓力	壓力 ㎩ ㍱ ㎪ ㎫ ㎬
帕	帕 ㎩ ㍱ ㎪ ㎫ ㎬
帕斯卡	帕斯卡 ㎩ ㍱ ㎪ ㎫ ㎬
電壓	電壓 ㎴ ㎵ ㎶ ㎷ ㎸ ㎹
伏	伏 ㎴ ㎵ ㎶ ㎷ ㎸ ㎹
伏特	伏特 ㎴ ㎵ ㎶ ㎷ ㎸ ㎹
功率	功率 ㎺ ㎻ ㎼ ㎽ ㎾ ㎿
瓦	瓦 ㎺ ㎻ ㎼ ㎽ ㎾ ㎿ ㍗
瓦特	瓦特 ㎺ ㎻ ㎼ ㎽ ㎾ ㎿ ㍗
電阻	電阻 ㏀ ㏁
歐	歐 ㏀ ㏁
歐姆	歐姆 ㏀ ㏁
電容	電容 ㎊ ㎋ ㎌
法拉	法拉 ㎊ ㎋ ㎌
字節	字節 ㎅ ㎆ ㎇
對數	對數 ㏑ ㏒
摩爾	摩爾 ㏖
ppm	ppm ㏙
分貝	分貝 ㏈
平方米	平方米 ㎡
英里	英里 ㏕
納米	納米 ㎚
微米	微米 ㎛
毫米	毫米 ㎜
釐米	釐米 ㎝
千米	千米 ㎞ ㏎
立方米	立方米 m³
毫克	毫克 ㎎
千克	千克 ㎏
積分	積分 ∫ ∬ ∭ ∮ ∯ ∰ ⨌
星期一	星期一 月曜日 げつようび
星期二	星期二 火曜日 かようび
星期三	星期三 水曜日 すいようび
星期四	星期四 木曜日 もくようび
星期五	星期五 金曜日 きんようび
星期六	星期六 土曜日 どようび
星期日	星期日 日曜日 にちようび
星期天	星期天 日曜日 にちようび
週一	週一 月曜日 げつようび
週二	週二 火曜日 かようび
週三	週三 水曜日 すいようび
週四	週四 木曜日 もくようび
週五	週五 金曜日 きんようび
週六	週六 土曜日 どようび
週日	週日 日曜日 にちようび
周天	周天 日曜日 にちようび
七情	七情 喜 怒 憂 思 悲 恐 驚
六慾	六慾 眼（見欲，貪美色奇物） 耳（聽欲，貪美音贊言） 鼻（香欲，貪香味） 舌（味欲，貪美食口快） 身（觸欲，貪舒適享受） 意（意欲，貪聲色、名利、恩愛） 色慾 形貌欲 威儀姿態欲 言語音聲欲 細滑欲和人相欲
天干	天干 甲 乙 丙 丁 戊 己 庚 辛 壬 癸
地支	地支 子 醜 寅 卯 辰 巳 午 未 申 酉 戌 亥
干支	干支 甲子 乙丑 丙寅 丁卯 戊辰 己巳 庚午 辛未 壬申 癸酉 甲戌 乙亥 丙子 丁丑 戊寅 己卯 庚辰 辛巳 壬午 癸未 甲申 乙酉 丙戌 丁亥 戊子 己丑 庚寅 辛卯 壬辰 癸巳 甲午 乙未 丙申 丁酉 戊戌 己亥 庚子 辛丑 壬寅 癸卯 甲辰 乙巳 丙午 丁未 戊申 己酉 庚戌 辛亥 壬子 癸丑 甲寅 乙卯 丙辰 丁巳 戊午 己未 庚申 辛酉 壬戌 癸亥
節氣	節氣 冬至 小寒 大寒 立春 雨水 驚蟄 春分 清明 穀雨 立夏 小滿 芒種 夏至 小暑 大暑 立秋 處暑 白露 秋分 寒露 霜降 立冬 小雪 大雪
五穀	五穀 稻 黍（黍米） 稷（小米） 麥 菽（大豆） 麻（大麻）
三字經	三字經 人之初 性本善 性相近 習相遠 苟不教 性乃遷 教之道 貴以專 昔孟母 擇鄰處 子不學 斷機杼 竇燕山 有義方 教五子 名俱揚 養不教 父之過 教不嚴 師之惰 子不學 非所宜 幼不學 老何為 玉不琢 不成器 人不學 不知義 為人子 方少時 親師友 習禮儀 香九齡 能溫席 孝於親 所當執 融四歲 能讓梨 弟於長 宜先知 首孝弟 次見聞 知某數 識某文 一而十 十而百 百而千 千而萬 三才者 天地人 三光者 日月星 三綱者 君臣義 父子親 夫婦順 曰春夏 曰秋冬 此四時 運不窮 曰南北 曰西東 此四方 應乎中 曰水火 木金土 此五行 本乎數 曰仁義 禮智信 此五常 不容紊 稻粱菽 麥黍稷 此六穀 人所食 馬牛羊 雞犬豕 此六畜 人所飼 曰喜怒 曰哀懼 愛惡欲 七情具 匏土革 木石金 絲與竹 乃八音 高曾祖 父而身 身而子 子而孫 自子孫 至玄曾 乃九族 人之倫 父子恩 夫婦從 兄則友 弟則恭 長幼序 友與朋 君則敬 臣則忠 此十義 人所同 凡訓蒙 須講究 詳訓詁 明句讀 為學者 必有初 小學終 至四書 論語者 二十篇 群弟子 記善言 孟子者 七篇止 講道德 說仁義 作中庸 子思筆 中不偏 庸不易 作大學 乃曾子 自脩齊 至平治 孝經通 四書熟 如六經 始可讀 詩書易 禮春秋 號六經 當講求 有連山 有歸藏 有周易 三易詳 有典謨 有訓誥 有誓命 書之奧 我周公 作周禮 著六官 存治體 大小戴 注禮記 述聖言 禮樂備 曰國風 曰雅頌 號四詩 當諷詠 詩既亡 春秋作 寓褒貶 別善惡 三傳者 有公羊 有左氏 有穀梁 經既明 方讀子 撮其要 記其事 五子者 有荀楊 文中子 及老莊 經子通 讀諸史 考世系 知終始 自羲農 至黃帝 號三皇 居上世 唐有虞 號二帝 相揖遜 稱盛世 夏有禹 商有湯 周文武 稱三王 夏傳子 家天下 四百載 遷夏社 湯伐夏 國號商 六百載 至紂亡 周武王 始誅紂 八百載 最長久 周轍東 王綱墜 逞干戈 尚遊說 始春秋 終戰國 五霸強 七雄出 嬴秦氏 始兼併 傳二世 楚漢爭 高祖興 漢業建 至孝平 王莽篡 光武興 為東漢 四百年 終於獻 魏蜀吳 爭漢鼎 號三國 迄兩晉 宋齊繼 梁陳承 為南朝 都金陵 北元魏 分東西 宇文周 與高齊 迨至隋 一土宇 不再傳 失統緒 唐高祖 起義師 除隋亂 創國基 二十傳 三百載 梁滅之 國乃改 梁唐晉 及漢周 稱五代 皆有由 炎宋興 受周禪 十八傳 南北混 十七史 全在茲 載治亂 知興衰 讀史者 考實錄 通古今 若親目 口而誦 心而惟 朝於斯 夕於斯 昔仲尼 師項橐 古聖賢 尚勤學 趙中令 讀魯論 彼既仕 學且勤 披蒲編 削竹簡 彼無書 且知勉 頭懸樑 錐刺股 彼不教 自勤苦 如囊螢 如映雪 家雖貧 學不輟 如負薪 如掛角 身雖勞 猶苦卓 蘇老泉 二十七 始發憤 讀書籍 彼既老 猶悔遲 爾小生 宜早思 若梁灝 八十二 對大廷 魁多士 彼既成 眾稱異 爾小生 宜立志 瑩八歲 能詠詩 泌七歲 能賦碁 彼穎悟 人稱奇 爾幼學 當效之 蔡文姬 能辨琴 謝道韞 能詠吟 彼女子 且聰敏 爾男子 當自警 唐劉晏 方七歲 舉神童 作正字 彼雖幼 身己仕 爾幼學 勉而致 有為者 亦若是 犬守夜 雞司晨 苟不學 曷為人 蠶吐絲 蜂釀蜜 人不學 不如物 幼而學 壯而行 上致君 下澤民 揚名聲 顯父母 光於前 裕於後 人遺子 金滿籯 我教子 惟一經 勤有功 戲無益 戒之哉 宜勉力
百家姓	百家姓 趙錢孫李 周吳鄭王 馮陳褚衛 蔣沈韓楊 朱秦尤許 何呂施張 孔曹嚴華 金魏陶姜 戚謝鄒喻 柏水竇章 雲蘇潘葛 奚範彭郎 魯韋昌馬 苗鳳花方 俞任袁柳 酆鮑史唐 費廉岑薛 雷賀倪湯 滕殷羅畢 郝鄔安常 樂於時傅 皮卞齊康 伍餘元卜 顧孟平黃 和穆蕭尹 姚邵湛汪 祁毛禹狄 米貝明臧 計伏成戴 談宋茅龐 熊紀舒屈 項祝董梁 杜阮藍閔 席季麻強 賈路婁危 江童顏郭 梅盛林刁 鍾徐邱駱 高夏蔡田 樊胡凌霍 虞萬支柯 昝管盧莫 經房裘繆 幹解應宗 丁宣賁鄧 鬱單杭洪 包諸左石 崔吉鈕龔 程嵇邢滑 裴陸榮翁 荀羊於惠 甄曲家封 芮羿儲靳 汲邴糜松 井段富巫 烏焦巴弓 牧隗山谷 車侯宓蓬 全郗班仰 秋仲伊宮 寧仇欒暴 甘鈄厲戎 祖武符劉 景詹束龍 葉幸司韶 郜黎薊薄 印宿白懷 蒲邰從鄂 索鹹籍賴 卓藺屠蒙 池喬陰鬱 胥能蒼雙 聞莘黨翟 譚貢勞逄 姬申扶堵 冉宰酈雍 卻璩桑桂 濮牛壽通 邊扈燕冀 郟浦尚農 溫別莊晏 柴瞿閻充 慕連茹習 宦艾魚容 向古易慎 戈廖庾終 暨居衡步 都耿滿弘 匡國文寇 廣祿闕東 歐殳沃利 蔚越夔隆 師鞏厙聶 晁勾敖融 冷訾辛闞 那簡饒空 曾毋沙乜 養鞠須豐 巢關蒯相 查後荊紅 遊竺權逯 蓋益桓公 万俟司馬 上官歐陽 夏侯諸葛 聞人東方 赫連皇甫 尉遲公羊 澹臺公冶 宗政濮陽 淳于單于 太叔申屠 公孫仲孫 軒轅令狐 鍾離宇文 長孫慕容 鮮于閭丘 司徒司空 丌官司寇 仉督子車 顓孫端木 巫馬公西 漆雕樂正 壤駟公良 拓跋夾谷 宰父穀梁 晉楚閆法 汝鄢塗欽 段幹百里 東郭南門 呼延歸海 羊舌微生 嶽帥緱亢 況郈有琴 梁丘左丘 東門西門 商牟佘佴 伯賞南宮 墨哈譙笪 年愛陽佟 第五言福 百家姓終
